datetime,description,location,direction,lat,lon
08/09/2026 02:49:00,1179-Trfc Collision-1141 Enrt,0 I80 E,E,39.446091,-120.010022
08/09/2026 05:45:00,1182-Trfc Collision-No Inj,I80 W / Floriston Way Ofr,W,39.394812,-120.025178
08/09/2026 09:34:00,1125-Traffic Hazard,I80 E / Alta Onr,E,39.202659,-120.808916
08/09/2026 13:16:00,1182-Trfc Collision-No Inj,I80 W / Baxter Rd Onr,W,39.212903,-120.779957
08/09/2026 14:12:00,DOT-Request CalTrans Notify,I80 W / Cisco Rd Onr,W,39.311305,-120.546189
08/09/2026 14:57:00,1125-Traffic Hazard,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
08/09/2026 18:32:00,1182-Trfc Collision-No Inj,I80 W / Castle Peak Rd Ofr,W,39.34032,-120.346445
08/09/2026 18:57:00,1125-Traffic Hazard,I80 E / Hirschdale Rd Ofr,E,39.383469,-120.089576
08/09/2026 19:35:00,CFIRE-Car Fire,I80 W / Alta Ofr,W,39.202681,-120.809444
08/09/2026 22:54:00,DOT-Request CalTrans Notify,I80 W / Cisco Rd Onr,W,39.311305,-120.546189
