date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-09-02,3023111,E,ML,00,237,68.4
2026-09-02,3023111,E,ML,01,182,68.1
2026-09-02,3023111,E,ML,02,164,67.5
2026-09-02,3023111,E,ML,03,174,68.4
2026-09-02,3023111,E,ML,04,193,67.9
2026-09-02,3023111,E,ML,05,371,66.9
2026-09-02,3023111,E,ML,06,514,66.7
2026-09-02,3023111,E,ML,07,718,65.9
2026-09-02,3023111,E,ML,08,718,65.2
2026-09-02,3023111,E,ML,09,519,67.0
2026-09-02,3023111,E,ML,10,820,67.6
2026-09-02,3023111,E,ML,11,858,66.1
2026-09-02,3023111,E,ML,12,902,68.5
2026-09-02,3023111,E,ML,13,1024,70.0
2026-09-02,3023111,E,ML,14,949,66.9
2026-09-02,3023111,E,ML,15,954,64.6
2026-09-02,3023111,E,ML,16,1048,63.7
2026-09-02,3023111,E,ML,17,923,66.7
2026-09-02,3023111,E,ML,18,647,66.5
2026-09-02,3023111,E,ML,19,589,66.9
2026-09-02,3023111,E,ML,20,481,65.1
2026-09-02,3023111,E,ML,21,384,66.3
2026-09-02,3023111,E,ML,22,329,67.3
2026-09-02,3023111,E,ML,23,268,67.7
2026-09-02,3023113,E,FR,00,10,
2026-09-02,3023113,E,FR,01,6,
2026-09-02,3023113,E,FR,02,3,
2026-09-02,3023113,E,FR,03,8,
2026-09-02,3023113,E,FR,04,11,
2026-09-02,3023113,E,FR,05,61,
2026-09-02,3023113,E,FR,06,102,
2026-09-02,3023113,E,FR,07,123,
2026-09-02,3023113,E,FR,08,155,
2026-09-02,3023113,E,FR,09,122,
2026-09-02,3023113,E,FR,10,120,
2026-09-02,3023113,E,FR,11,155,
2026-09-02,3023113,E,FR,12,135,
2026-09-02,3023113,E,FR,13,168,
2026-09-02,3023113,E,FR,14,187,
2026-09-02,3023113,E,FR,15,189,
2026-09-02,3023113,E,FR,16,162,
2026-09-02,3023113,E,FR,17,139,
2026-09-02,3023113,E,FR,18,91,
2026-09-02,3023113,E,FR,19,62,
2026-09-02,3023113,E,FR,20,60,
2026-09-02,3023113,E,FR,21,56,
2026-09-02,3023113,E,FR,22,44,
2026-09-02,3023113,E,FR,23,29,
2026-09-02,3023115,E,OR,00,20,
2026-09-02,3023115,E,OR,01,7,
2026-09-02,3023115,E,OR,02,7,
2026-09-02,3023115,E,OR,03,6,
2026-09-02,3023115,E,OR,04,21,
2026-09-02,3023115,E,OR,05,47,
2026-09-02,3023115,E,OR,06,153,
2026-09-02,3023115,E,OR,07,380,
2026-09-02,3023115,E,OR,08,326,
2026-09-02,3023115,E,OR,09,381,
2026-09-02,3023115,E,OR,10,366,
2026-09-02,3023115,E,OR,11,439,
2026-09-02,3023115,E,OR,12,460,
2026-09-02,3023115,E,OR,13,479,
2026-09-02,3023115,E,OR,14,596,
2026-09-02,3023115,E,OR,15,751,
2026-09-02,3023115,E,OR,16,791,
2026-09-02,3023115,E,OR,17,772,
2026-09-02,3023115,E,OR,18,438,
2026-09-02,3023115,E,OR,19,283,
2026-09-02,3023115,E,OR,20,150,
2026-09-02,3023115,E,OR,21,110,
2026-09-02,3023115,E,OR,22,70,
2026-09-02,3023115,E,OR,23,49,
2026-09-02,3023116,W,FR,00,32,
2026-09-02,3023116,W,FR,01,58,
2026-09-02,3023116,W,FR,02,58,
2026-09-02,3023116,W,FR,03,13,
2026-09-02,3023116,W,FR,04,29,
2026-09-02,3023116,W,FR,05,64,
2026-09-02,3023116,W,FR,06,282,
2026-09-02,3023116,W,FR,07,338,
2026-09-02,3023116,W,FR,08,274,
2026-09-02,3023116,W,FR,09,230,
2026-09-02,3023116,W,FR,10,177,
2026-09-02,3023116,W,FR,11,208,
2026-09-02,3023116,W,FR,12,224,
2026-09-02,3023116,W,FR,13,216,
2026-09-02,3023116,W,FR,14,225,
2026-09-02,3023116,W,FR,15,206,
2026-09-02,3023116,W,FR,16,207,
2026-09-02,3023116,W,FR,17,233,
2026-09-02,3023116,W,FR,18,171,
2026-09-02,3023116,W,FR,19,110,
2026-09-02,3023116,W,FR,20,80,
2026-09-02,3023116,W,FR,21,60,
2026-09-02,3023116,W,FR,22,31,
2026-09-02,3023116,W,FR,23,25,
2026-09-02,3023121,W,ML,00,358,59.3
2026-09-02,3023121,W,ML,01,318,60.1
2026-09-02,3023121,W,ML,02,242,58.8
2026-09-02,3023121,W,ML,03,306,59.4
2026-09-02,3023121,W,ML,04,374,59.3
2026-09-02,3023121,W,ML,05,469,61.6
2026-09-02,3023121,W,ML,06,993,61.8
2026-09-02,3023121,W,ML,07,1476,64.3
2026-09-02,3023121,W,ML,08,1467,59.5
2026-09-02,3023121,W,ML,09,1530,57.3
2026-09-02,3023121,W,ML,10,1633,55.9
2026-09-02,3023121,W,ML,11,1686,53.8
2026-09-02,3023121,W,ML,12,1663,57.3
2026-09-02,3023121,W,ML,13,1659,59.7
2026-09-02,3023121,W,ML,14,1730,60.2
2026-09-02,3023121,W,ML,15,1705,58.3
2026-09-02,3023121,W,ML,16,1702,61.7
2026-09-02,3023121,W,ML,17,1606,62.5
2026-09-02,3023121,W,ML,18,1291,60.5
2026-09-02,3023121,W,ML,19,978,59.5
2026-09-02,3023121,W,ML,20,997,58.2
2026-09-02,3023121,W,ML,21,774,56.3
2026-09-02,3023121,W,ML,22,637,59.2
2026-09-02,3023121,W,ML,23,411,62.3
2026-09-02,3023124,W,ML,00,0,
2026-09-02,3023124,W,ML,01,0,
2026-09-02,3023124,W,ML,02,1,64.4
2026-09-02,3023124,W,ML,03,1,62.7
2026-09-02,3023124,W,ML,04,2,64.5
2026-09-02,3023124,W,ML,05,1,64.8
2026-09-02,3023124,W,ML,06,20,64.6
2026-09-02,3023124,W,ML,07,81,63.2
2026-09-02,3023124,W,ML,08,134,63.8
2026-09-02,3023124,W,ML,09,153,63.4
2026-09-02,3023124,W,ML,10,178,60.8
2026-09-02,3023124,W,ML,11,164,59.3
2026-09-02,3023124,W,ML,12,211,61.4
2026-09-02,3023124,W,ML,13,184,61.7
2026-09-02,3023124,W,ML,14,203,63.5
2026-09-02,3023124,W,ML,15,220,62.2
2026-09-02,3023124,W,ML,16,162,60.5
